table_no,record_name,title,year,author_st,taxonomic_group_st,issue,latin_family_name,latin_name,danish_genus_name,danish_family_name,danish_species_epithet,copyright
106,floradanica_0106.tif,Fucus siliquosus L.,1763,G. C. Oeder,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,,Halidrys siliquosa (L.)Lgb.(Cystoseira siliq.Ag.),,,,free
107,floradanica_0107.tif,Juncus trifidus L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Juncaceae,Juncus trifidus L.,Siv,Sivfamilien,Treblad-,free
108,floradanica_0108.tif,Ranunculus reptans L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ranunculaceae,Ranunculus reptans L.,Ranunkel,Ranunkelfamilien,Krybende,free
109,floradanica_0109.tif,Carduus heterophyllus L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Asteraceae,Cirsium helenioides (L.) Hill,Tidsel,Kurvblomstfamilien,Forskelligbladet,free
110,floradanica_0110.tif,Pyrola rotundifolia Oed.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Pyrolaceae,Pyrola media Swartz,Vintergrøn,Vintergrønfamilien,Klokke-,free
111,floradanica_0111.tif,Ranunculus aconitifolius L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Ranunculaceae,Ranunculus platanifolius L.,Ranunkel,Ranunkelfamilien,Lønbladet,free
112,floradanica_0112.tif,Mespilus Cotoneaster L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Rosaceae,Cotoneaster integerrimus Medicus,Dværgmispel,Rosenfamilien,Rød,free
113,floradanica_0113.tif,Sedum reflexum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Crassulaceae,Sedum reflexum L.,Stenurt,Stenurtfamilien,Bjerg-,free
114,floradanica_0114.tif,Potentilla aurea L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Rosaceae,Potentilla crantzii (Cr.) G. Beck,Potentil,Rosenfamilien,Guld-,free
115,floradanica_0115.tif,Satyrium albidum L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Orchidaceae,Gymnadenia albida (L.) L. C. M. Richard,Sækspore,Gøgeurtfamilien,Hvid,free
116,floradanica_0116.tif,Elvela Mitra L.,1763,G. C. Oeder,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,,Helvella Mitra L.,,,,free
117,floradanica_0117.tif,Salix herbacea L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Salicaceae,Salix herbacea L.,Pil,Pilefamilien,Dværg-,free
118,floradanica_0118.tif,Saxifraga rivularis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Saxifragaceae,Saxifraga rivularis L.,Stenbræk,Stenbrækfamilien,Bæk-,free
119,floradanica_0119.tif,Asplenium Trichomanes L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Aspleniaceae,Asplenium trichomanes L. ssp. trichomanes,Radeløv,Radeløvfamilien,Rundfinnet,free
120,floradanica_0120.tif,Juncus biglumis L.,1763,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  2,Juncaceae,Juncus biglumis L.,Siv,Sivfamilien,Toblomstret,free
121,floradanica_0121.tif,Dracocephalum Ruyschiana L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Lamiaceae,Dracocephalum ruyschiana L.,Dragehoved,Læbeblomstfamilien,Almindelig,free
122,floradanica_0122.tif,Alisma ranunculoides L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Alismataceae,Baldellia ranunculoides (L.) Parl.,Søpryd,Skebladfamilien,Almindelig,free
123,floradanica_0123.tif,Aconitum Lycoctonum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Ranunculaceae,Aconitum lycoctonum L. ssp. lycoctonum,Stormhat,Ranunkelfamilien,Nordisk,free
124,floradanica_0124.tif,Geranium silvaticum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Geraniaceae,Geranium sylvaticum L.,Storkenæb,Storkenæbfamilien,Skov-,free
125,floradanica_0125.tif,Primula farinosa L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Primulaceae,Primula farinosa L.,Kodriver,Kodriverfamilien,Melet,free
126,floradanica_0126.tif,Lycopodium clavatum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Lycopociaceae,Lycopodium clavatum L. ssp. clavatum,Ulvefod,Ulvefodfamilien,Almindelig,free
127,floradanica_0127.tif,Lycopodium annotinum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Lycopodiaceae,Lycopodium annotinum L. ssp. annotinum,Ulvefod,Ulvefodfamilien,Femradet,free
128,floradanica_0128.tif,Utricularia minor L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Lentibulariaceae,Utricularia minor L.,Blærerod,Blærerodfamilien,Liden,free
129,floradanica_0129.tif,Callitriche verna L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Callitrichaceae,Callitriche palustris L.,Vandstjerne,Vandstjernefamilien,Småfrugtet,free
130,floradanica_0130.tif,Draba incana L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Brassicaceae,Draba incana L.,Draba,Korsblomstfamilien,Hvidgrå,free
131,floradanica_0131.tif,Montia fontana L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Portulacaceae,Montia sp.,Vandarve,Portulakfamilien,,free
132,floradanica_0132.tif,Juncus triglumis L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Juncaceae,Juncus triglumis L.,Siv,Sivfamilien,Treblomstret,free
133,floradanica_0133.tif,Trollius europaeus L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Ranunculaceae,Trollius europaeus L.,Engblomme,Ranunkelfamilien,,free
134,floradanica_0134.tif,Rubus saxatilis L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Rosaceae,Rubus saxatilis L.,Fruebær,Rosenfamilien,Almindelig,free
135,floradanica_0135.tif,Cochlearia officinalis L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Brassicaceae,Cochlearia officinalis L.,Kokleare,Korsblomstfamilien,Læge-,free
136,floradanica_0136.tif,Lathraea squamaria L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Scrophulariaceae,Lathraea squamaria L.,Skælrod,Maskeblomstfamilien,,free
137,floradanica_0137.tif,Ophrys ovata L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Orchidaceae,Listera ovata (L.) R. Br.,Fliglæbe,Gøgeurtfamilien,Ægbladet,free
138,floradanica_0138.tif,Utricularia vulgaris L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Lentibulariaceae,Utricularia vulgaris L.,Blærerod,Blærerodfamilien,Almindelig,free
139,floradanica_0139.tif,Paris quadrifolia L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Liliaceae,Paris quadrifolia L.,Firblad,Liljefamilien,,free
140,floradanica_0140.tif,Anemone ranunculoides L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Ranunculaceae,Anemone ranunculoides L.,Anemone,Ranunkelfamilien,Gul,free
141,floradanica_0141.tif,Hypericum humifusum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Clusiaceae,Hypericum humifusum L.,Perikon,Perikonfamilien,Dværg-,free
142,floradanica_0142.tif,Draba hirta Oed.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Brassicaceae,Draba lactea Adams,Draba,Korsblomstfamilien,Lapmarks-,free
143,floradanica_0143.tif,Draba pyrenaica (?) Oed.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Brassicaceae,Draba daurica DC.,Draba,Korsblomstfamilien,Glatskulpet,free
144,floradanica_0144.tif,Ranunculus lapponicus Oed.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Ranunculaceae,Ranunculus pygmaeus Wahlenb.,Ranunkel,Ranunkelfamilien,Dværg-,free
145,floradanica_0145.tif,Melampyrum silvaticum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Scrophulariaceae,Melampyrum sylvaticum L.,Kohvede,Maskeblomstfamilien,Skov-,free
146,floradanica_0146.tif,Fucus nodosus L.,1764,G. C. Oeder,Alger,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,,Ascophyllum nodosum (L.) Le Jolis (Halidrys Lgb.).,,,,free
147,floradanica_0147.tif,Ophioglossum vulgatum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Ophioglossaceae,Ophioglossum vulgatum L.,Slangetunge,Slangetungefamilien,,free
148,floradanica_0148.tif,Cardamine hirsuta Oed.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Brassicaceae,Cardamine hirsuta L.,Vandkarse,Korsblomstfamilien,,free
149,floradanica_0149.tif,Hypochoeris maculata L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Asteraceae,Hypochoeris maculata L.,Kongepen,Kurvblomstfamilien,Plettet,free
150,floradanica_0150.tif,Hypochoeris radicata L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Asteraceae,Hypochoeris radicata L.,Kongepen,Kurvblomstfamilien,Almindelig,free
151,floradanica_0151.tif,Lichen paschalis L.,1764,G. C. Oeder,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,,Stereocaulon paschale (L.) Fr.,,,,free
152,floradanica_0152.tif,Convallaria multiflora L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Liliaceae,Polygonatum multiflorum (L.) All.,Konval,Liljefamilien,Stor,free
153,floradanica_0153.tif,Anemone pulsatilla L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Ranunculaceae,Pulsatilla vulgaris Miller ssp. vulgaris,Kobjælde,Ranunkelfamilien,Opret,free
154,floradanica_0154.tif,Chara hispida L.,1764,G. C. Oeder,Taxonomisk gruppe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,,,,,,free
155,floradanica_0155.tif,Lichen islandicus L.,1764,G. C. Oeder,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,,Cetraria islandica (L.) Ach.,,,,free
156,floradanica_0156.tif,Elatine Hydropiper L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Elatinaceae,Elatine hydropiper L.,Bækarve,Bækarvefamilien,Vandpeber-,free
157,floradanica_0157.tif,Aira flexuosa L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Poaceae,Deschampsia flexuosa (L.) Trin.,Bunke,Græsfamilien,Bølget,free
158,floradanica_0158.tif,Carex atrata L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Cyperaceae,Carex atrata L.,Star,Halvgræsfamilien,Sort,free
159,floradanica_0159.tif,Carex Saxatilis L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Cyperaceae,Carex bigelowii Torrey ex Schweinitz ssp. nardeticola J. Holub.,Star,Halvgræsfamilien,Rank,free
160,floradanica_0160.tif,Lolium temulentum,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Poaceae,Lolium temulentum L.,Rajgræs,Græsfamilien,Giftig,free
161,floradanica_0161.tif,Agrostis canina L. var.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Poaceae,Agrostis stricta J. F. Gmelin ssp. hyperborea (Laest.),Hvene,Græsfamilien,Klippe-,free
162,floradanica_0162.tif,Festuca decumbens L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Poaceae,Danthonia decumbens (L.) DC. in Lam. & DC.,Tandbælg,Græsfamilien,Almindelig,free
163,floradanica_0163.tif,Agrostis capillaris Oed.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Poaceae,Agrostis capillaris L.,Hvene,Græsfamilien,Almindelig,free
164,floradanica_0164.tif,Bromus pinnatus Oed.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Poaceae,Brachypodium sylvaticum (Hudson) Beauv.,Stilkaks,Græsfamilien,Skov-,free
165,floradanica_0165.tif,Avena elatior L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Poaceae,Arrhenatherum elatius (L.) Beauv. ex J. & C. Presl.,Draphavre,Græsfamilien,,free
166,floradanica_0166.tif,Carex pulicaris L. 11),1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Cyperaceae,Carex pulicaris L.,Star,Halvgræsfamilien,Loppe-,free
167,floradanica_0167.tif,Scirpus acicularis Oed.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Cyperaceae,Eleocharis uniglumis (Link) Schultes,Sumpstrå,Halvgræsfamilien,Enskællet,free
168,floradanica_0168.tif,Carex capillaris L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Cyperaceae,Carex capillaris L. ssp. capillaris,Star,Halvgræsfamilien,Almindelig Hår-,free
169,floradanica_0169.tif,Osmunda Struthiopteris L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Woodsiaceae,Matteuccia struthiopteris (L.) Tod.,Strudsvinge,Fjerbregnefamilien,,free
170,floradanica_0170.tif,Plantago uniflora L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Plantaginaceae,Littorella uniflora (L.) Ascherson,Strandbo,Vejbredfamilien,,free
171,floradanica_0171.tif,Potentilla norvegica L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Rosaceae,Potentilla norvegica L.,Potentil,Rosenfamilien,Norsk,free
172,floradanica_0172.tif,Sagittaria sagittifolia L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Alismataceae,Sagittaria sagittifolia L.,Pilblad,Skebladfamilien,Almindelig,free
173,floradanica_0173.tif,Hypericum montanum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Clusiaceae,Hypericum montanum L.,Perikon,Perikonfamilien,Bjerg-,free
174,floradanica_0174.tif,Lysimachia nemorum L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Primulaceae,Lysimachia nemorum L.,Fredløs,Kodriverfamilien,Lund-,free
175,floradanica_0175.tif,Phallus impudicus L.,1764,G. C. Oeder,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,,,,,,free
176,floradanica_0176.tif,Hydnum imbricatum L.,1764,G. C. Oeder,Svampe,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,,,,,,free
177,floradanica_0177.tif,Centunculus minimus L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Primulaceae,Anagallis minima (L.) E. H. L. Krause in Sturm,Knudearve,Kodriverfamilien,,free
178,floradanica_0178.tif,Linum Radiola L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Linaceae,Radiola linoides Roth,Tusindfrø,Hørfamilien,,free
179,floradanica_0179.tif,Cyperus fuscus L.,1764,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,Cyperaceae,Cyperus fuscus L.,Fladaks,Halvgræsfamilien,Brun,free
180,floradanica_0180.tif,Lichen rangiferinus alpestris L.,1764,G. C. Oeder,Laver,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  3,,Cladonia rangiferina (L.) Hoffm. var. alpestris.,,,,free
181,floradanica_0181.tif,Ophrys Nidus avis L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Orchidaceae,Neottia nidus-avis (L.) L. C. M. Richard,Rederod,Gøgeurtfamilien,,free
182,floradanica_0182.tif,Sonchus alpinus L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Asteraceae,Cicerbita alpina (L.) Wallr.,Turt,Kurvblomstfamilien,Fjeld-,free
183,floradanica_0183.tif,Rhodiola rosea L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Crassulaceae,Rhodiola rosea L.,Rosenrod,Stenurtfamilien,,free
184,floradanica_0184.tif,Lepidium ruderale L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Brassicaceae,Lepidium ruderale L.,Karse,Korsblomstfamilien,Stinkende,free
185,floradanica_0185.tif,Ajuga pyramidalis L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Lamiaceae,Ajuga pyramidalis L.,Læbeløs,Læbeblomstfamilien,Pyramide-,free
186,floradanica_0186.tif,Potamogeton marinum L. Oed.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Potamogetonaceae,Potamogeton pectinatus L.,Vandaks,Vandaksfamilien,Børstebladet,free
187,floradanica_0187.tif,Salsola hirsuta L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Chenopodiaceae,Bassia hirsuta (L.) Ascherson in Schweinf.,Tangurt,Salturtfamilien,,free
188,floradanica_0188.tif,Primula integrifolia Oed.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Primulaceae,Primula nutans Georgi,Kodriver,Kodriverfamilien,Norsk,free
189,floradanica_0189.tif,Campanula rotundifolia L. var. [gamma],1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Campanulaceae,Campanula rotundifolia L. ssp. rotundifolia,Klokke,Klokkefamilien,Liden,free
190,floradanica_0190.tif,Asplenium Ruta muraria,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Aspleniaceae,Asplenium ruta-muraria L.,Murrude,Radeløvfamilien,,free
191,floradanica_0191.tif,Isoëtes lacustris L. 12),1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Isoëtaceae,Isoetes sp.,Brasenføde,Brasenfødefamilien,,free
192,floradanica_0192.tif,Splachnum ampullaceum Oed.,1765,G. C. Oeder,Mosser,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,,Tetraplodon mnioides (Sw.) Br. et Sch.?,,,,free
193,floradanica_0193.tif,Pinus Abies L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Pinaceae,Picea abies (L.) H. Karsten ssp. abies,Rødgran,Granfamilien,,free
194,floradanica_0194.tif,Primula veris acaulis L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Primulaceae,Primula vulgaris Hudson,Kodriver,Kodriverfamilien,Storblomstret,free
195,floradanica_0195.tif,Potamogeton lucens L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Potamogetonaceae,Potamogeton lucens L.,Vandaks,Vandaksfamilien,Glinsende,free
196,floradanica_0196.tif,Potamogeton perfoliatum L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Potamogetonaceae,Potamogeton perfoliatus L.,Vandaks,Vandaksfamilien,Hjertebladet,free
197,floradanica_0197.tif,Salix arenaria Oed.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Salicaceae,Salix glauca L. var. glauca,Pil,Pilefamilien,Blågrå,free
198,floradanica_0198.tif,Samolus Valerandi L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Primulaceae,Samolus valerandi L.,Samel,Kodriverfamilien,,free
199,floradanica_0199.tif,Cuscuta europaea L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Cuscutaceae,Cuscuta europaea L.,Silke,Silkefamilien,Nælde-,free
200,floradanica_0200.tif,Saxifraga Hirculus L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Saxifragaceae,Saxifraga hirculus L.,Stenbræk,Stenbrækfamilien,Gul,free
201,floradanica_0201.tif,Hyoseris minima L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Asteraceae,Arnoseris minima (L.) Schweigger & Koerte,Svineøje,Kurvblomstfamilien,,free
202,floradanica_0202.tif,Cochlearia Coronopus L.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Brassicaceae,Coronopus squamatus (Forskål) Ascherson,Ravnefod,Korsblomstfamilien,Almindelig,free
203,floradanica_0203.tif,Potamogeton compressum Oed.,1765,G. C. Oeder,Karplanter,Digitale Samlinger: Billeder:Særudgivelser:Flora Danica:Hæfte:Hft.  4,Potamogetonaceae,Potamogeton friesii Rupr.,Vandaks,Vandaksfamilien,Brodbladet,free
